airport_id,name,city,country,iata,icao,latitude,longitude,altitude
1458,Kos Airport,Kos,Greece,KGS,LGKO,36.79330063,27.091699600000005,412
1459,Karpathos Airport,Karpathos,Greece,AOK,LGKP,35.42139816,27.14599991,66
1460,Ioannis Kapodistrias International Airport,Kerkyra/corfu,Greece,CFU,LGKR,39.60189819,19.911699300000002,6
1461,Kasos Airport,Kasos,Greece,KSJ,LGKS,35.42139816,26.90999985,35
1462,Alexander the Great International Airport,Kavala,Greece,KVA,LGKV,40.91329956,24.61919975,18
1463,Filippos Airport,Kozani,Greece,KZI,LGKZ,40.28609848,21.84079933,2059
1464,Leros Airport,Leros,Greece,LRS,LGLE,37.184898,26.800301,39
1465,Limnos Airport,Limnos,Greece,LXS,LGLM,39.917099,25.23629951,14
1466,Larisa Airport,Larissa,Greece,LRA,LGLR,39.650253,22.4655,241
1467,Megara Airport,Megara,Greece,,LGMG,37.98109818,23.36540031,12
1468,Mikonos Airport,Mykonos,Greece,JMK,LGMK,37.43510056,25.34810066,405
1469,Mytilene International Airport,Mytilini,Greece,MJT,LGMT,39.05670166,26.59830093,60
1470,Aktion National Airport,Preveza,Greece,PVK,LGPZ,38.92549896,20.76530075,11
1471,Maritsa Airport,Rhodos,Greece,,LGRD,36.383098600000004,28.10890007,204
1472,Diagoras Airport,Rhodos,Greece,RHO,LGRP,36.40539932,28.08620071,17
1473,Araxos Airport,Patras,Greece,GPA,LGRX,38.1511,21.4256,46
1474,Chania International Airport,Chania,Greece,CHQ,LGSA,35.53170013,24.14970016,490
1475,Skiathos Island National Airport,Skiathos,Greece,JSI,LGSK,39.17710114,23.50370026,54
1476,Samos Airport,Samos,Greece,SMI,LGSM,37.68999863,26.911699300000002,19
1478,Sparti Airport,Sparti,Greece,SPJ,LGSP,36.97389984,22.52630043,500
1479,Santorini Airport,Thira,Greece,JTR,LGSR,36.39920044,25.47929955,127
1480,Sitia Airport,Sitia,Greece,JSH,LGST,35.21609879,26.10129929,376
1481,Stefanovikion Air Base,Stefanovikion,Greece,,LGSV,39.48,22.7672,146
1482,Skiros Airport,Skiros,Greece,SKU,LGSY,38.96760178,24.48719978,44
1483,Tanagra Air Base,Tanagra,Greece,,LGTG,38.339802,23.565001000000002,485
1484,Kasteli Airport,Kasteli,Greece,,LGTL,35.192001,25.326999999999998,1180
1485,Tripolis Airport,Tripolis,Greece,,LGTP,37.5306015,22.40360069,2113
1486,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,SKG,LGTS,40.519699100000004,22.97089958,22
1487,Tatoi Airport,Dekelia,Greece,,LGTT,38.10889816,23.78380013,785
1488,"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos,Greece,ZTH,LGZA,37.7509,20.8843,15
1489,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,LHBP,47.429759999999995,19.261093,495
1490,Debrecen International Airport,Debrecen,Hungary,DEB,LHDC,47.48889923,21.61529922,359
1491,Kecskemét Airport,Kecskemet,Hungary,,LHKE,46.91749954,19.74920082,376
1492,Nyíregyháza Airport,Nyirregyhaza,Hungary,,LHNY,47.98389816,21.6923008,338
1493,Őcsény Airport,Ocseny,Hungary,,LHOY,46.30390167,18.76919937,295
1496,Szentkirályszabadja Airport,Azentkilyszabadja,Hungary,,LHSA,47.07789993,17.96839905,919
1498,Szolnok Air Base,Szolnok,Hungary,,LHSN,47.122896999999995,20.2355,322
1499,Amendola Air Base,Amendola,Italy,,LIBA,41.541401,15.7181,183
1500,Crotone Airport,Crotone,Italy,CRV,LIBC,38.9972,17.0802,522
1501,Bari Karol Wojtyła Airport,Bari,Italy,BRI,LIBD,41.138901000000004,16.760599,177
1502,"Foggia ""Gino Lisa"" Airport",Foggia,Italy,FOG,LIBF,41.432899,15.535,265
1503,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,Italy,TAR,LIBG,40.517502,17.4032,215
1504,Lecce Galatina Air Base,Lecce,Italy,LCC,LIBN,40.239201,18.133301,156
1505,Pescara International Airport,Pescara,Italy,PSR,LIBP,42.431702,14.1811,48
1506,Brindisi – Salento Airport,Brindisi,Italy,BDS,LIBR,40.6576,17.947001,47
1507,Gioia Del Colle Air Base,Gioia Del Colle,Italy,,LIBV,40.767799,16.9333,1187
1508,Lamezia Terme Airport,Lamezia,Italy,SUF,LICA,38.905398999999996,16.2423,39
1509,Catania-Fontanarossa Airport,Catania,Italy,CTA,LICC,37.466801000000004,15.0664,39
1510,Lampedusa Airport,Lampedusa,Italy,LMP,LICD,35.497898,12.6181,70
1511,Pantelleria Airport,Pantelleria,Italy,PNL,LICG,36.816502,11.9689,628
1512,Falcone–Borsellino Airport,Palermo,Italy,PMO,LICJ,38.175999,13.091,65
1513,Palermo-Boccadifalco Airport,Palermo,Italy,,LICP,38.110802,13.3133,345
1514,Reggio Calabria Airport,Reggio Calabria,Italy,REG,LICR,38.071201,15.6516,96
1515,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy,TPS,LICT,37.9114,12.488,25
1516,Sigonella Navy Air Base,Sigonella,Italy,NSY,LICZ,37.401699,14.9224,79
1517,Alghero-Fertilia Airport,Alghero,Italy,AHO,LIEA,40.632099,8.29077,87
1518,Decimomannu Air Base,Decimomannu,Italy,DCI,LIED,39.354198,8.972480000000001,100
1519,Cagliari Elmas Airport,Cagliari,Italy,CAG,LIEE,39.251499,9.05428,13
1520,Olbia Costa Smeralda Airport,Olbia,Italy,OLB,LIEO,40.898701,9.51763,37
1521,Tortolì Airport,Tortoli,Italy,TTB,LIET,39.9188,9.68298,23
1522,Torino-Aeritalia Airport,Turin,Italy,,LIMA,45.086399,7.60337,943
1523,Milano-Bresso Airfield,Milano,Italy,,LIMB,45.542198,9.203330000000001,484
1524,Malpensa International Airport,Milano,Italy,MXP,LIMC,45.6306,8.728110000000001,768
1525,Il Caravaggio International Airport,Bergamo,Italy,BGY,LIME,45.673901,9.70417,782
1526,Turin Airport,Torino,Italy,TRN,LIMF,45.200802,7.64963,989
1527,Villanova D'Albenga International Airport,Albenga,Italy,ALL,LIMG,44.050598,8.12743,148
1528,Genoa Cristoforo Colombo Airport,Genoa,Italy,GOA,LIMJ,44.4133,8.8375,13
1529,Milano Linate Airport,Milan,Italy,LIN,LIML,45.445099,9.27674,353
1530,Cameri Air Base [MIL],Cameri,Italy,,LIMN,45.529598,8.66922,586
1531,Parma Airport,Parma,Italy,PMF,LIMP,44.824501,10.2964,161
1532,Piacenza San Damiano Air Base,Piacenza,Italy,,LIMS,44.913102,9.723322,456
1534,Cuneo International Airport,Cuneo,Italy,CUF,LIMZ,44.547001,7.62322,1267
1535,Aviano Air Base,Aviano,Italy,AVB,LIPA,46.031898,12.596503,410
1536,Bolzano Airport,Bolzano,Italy,BZO,LIPB,46.460201,11.3264,789
1537,Cervia Air Base,Cervia,Italy,,LIPC,44.224201,12.3072,18
1538,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,LIPE,44.5354,11.2887,123
1539,Treviso-Sant'Angelo Airport,Treviso,Italy,TSF,LIPH,45.648399,12.1944,59
1540,Rivolto Air Base,Rivolto,Italy,,LIPI,45.978699,13.0493,179
1541,Forlì Airport,Forli,Italy,FRL,LIPK,44.194801,12.0701,97
1542,Ghedi Air Base,Ghedi,Italy,,LIPL,45.432201,10.2677,333
1543,Verona-Boscomantico Airport,Verona,Italy,,LIPN,45.472,10.9279,286
1544,Brescia Airport,Brescia,Italy,VBS,LIPO,45.428902,10.3306,355
