airline_name,date,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,recommended
aer-lingus,2015-07-26,Economy,10.0,5.0,5.0,2.9603658536585367,2.0676923076923077,5.0,1
aegean-airlines,2015-03-04,Business Class,3.0,2.0,4.0,3.0,0.0,2.0,0
aegean-airlines,2015-03-04,Economy,8.0,4.0,4.0,4.0,2.0,4.0,1
aegean-airlines,2015-02-24,Economy,10.0,2.0,5.0,4.0,4.0,4.0,1
aegean-airlines,2015-02-24,Economy,8.0,3.0,4.0,5.0,4.0,5.0,1
aer-lingus,2015-07-26,Economy,8.0,5.0,5.0,3.0,3.0,5.0,1
aer-lingus,2015-07-25,Economy,9.0,4.0,5.0,2.9603658536585367,2.0676923076923077,4.0,1
aer-lingus,2015-07-22,Economy,2.0,2.0,2.0,1.0,2.0676923076923077,1.0,0
aegean-airlines,2015-02-18,Business Class,9.0,3.0,4.0,5.0,0.0,5.0,1
aegean-airlines,2015-02-18,Economy,7.823788546255507,4.0,3.0,2.0,3.0,3.0,0
aegean-airlines,2015-01-30,Economy,7.0,4.0,4.0,4.0,0.0,4.0,1
aer-lingus,2015-07-21,Economy,1.0,2.0,2.0,2.9603658536585367,2.0676923076923077,3.0,0
aer-lingus,2015-07-20,Economy,1.0,1.0,1.0,1.0,1.0,1.0,0
aegean-airlines,2014-12-29,Economy,7.0,4.0,4.0,4.0,2.0,4.0,1
aegean-airlines,2014-12-29,Economy,7.0,2.0,5.0,5.0,1.0,4.0,1
aegean-airlines,2014-11-25,Economy,10.0,5.0,5.0,5.0,1.0,5.0,1
aer-lingus,2015-07-16,Economy,8.0,4.0,5.0,3.0,2.0,4.0,1
aer-lingus,2015-07-16,Economy,7.0,1.0,4.0,2.9603658536585367,2.0676923076923077,4.0,1
aer-lingus,2015-07-13,Business Class,10.0,5.0,5.0,5.0,4.0,4.0,1
aegean-airlines,2014-11-25,Business Class,9.0,4.0,5.0,5.0,2.0,5.0,1
aegean-airlines,2014-11-25,Business Class,9.0,3.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2014-11-20,Economy,10.0,5.0,5.0,4.0,0.0,5.0,1
aer-lingus,2015-07-06,Economy,7.0,3.0,4.0,3.0,4.0,4.0,1
aer-lingus,2015-06-19,Economy,10.0,3.0,5.0,3.0,2.0676923076923077,4.0,1
aer-lingus,2015-06-12,Economy,9.0,3.0,4.0,4.0,4.0,5.0,1
aegean-airlines,2014-11-06,Economy,2.0,1.0,4.0,1.0,0.0,1.0,0
aegean-airlines,2014-11-05,Economy,1.0,3.0,3.0,3.0,1.0,2.0,0
aegean-airlines,2014-10-28,Economy,2.0,2.0,2.0,1.0,1.0,1.0,0
aegean-airlines,2014-10-22,Economy,10.0,3.0,5.0,4.0,4.0,5.0,1
aer-lingus,2015-06-06,Economy,7.289817232375979,1.0,3.0,2.0,1.0,1.0,0
aer-lingus,2015-05-20,Economy,2.0,3.0,1.0,1.0,1.0,2.0,0
aer-lingus,2015-05-16,Economy,7.0,3.0,3.0,0.0,0.0,4.0,1
aegean-airlines,2014-10-12,Economy,9.0,4.0,5.0,5.0,0.0,4.0,1
aegean-airlines,2014-10-12,Economy,9.0,4.0,5.0,4.0,0.0,5.0,1
aegean-airlines,2014-09-14,Business Class,3.0,3.0,4.0,2.0,0.0,2.0,0
aer-lingus,2015-05-13,Economy,1.0,3.0,1.0,0.0,0.0,2.0,0
aer-lingus,2015-05-10,Business Class,7.0,3.0,4.0,4.0,0.0,3.0,0
aer-lingus,2015-05-01,Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aegean-airlines,2014-09-09,Economy,8.0,4.0,4.0,4.0,0.0,5.0,1
aegean-airlines,2014-09-09,Economy,9.0,3.0,4.0,4.0,0.0,5.0,1
aegean-airlines,2014-09-09,Economy,10.0,4.0,5.0,4.0,0.0,4.0,1
aer-lingus,2015-04-30,Business Class,10.0,5.0,5.0,5.0,5.0,5.0,1
aer-lingus,2015-04-22,Economy,5.0,4.0,3.0,4.0,0.0,4.0,1
aer-lingus,2015-04-16,Economy,2.0,2.0,3.0,2.0,0.0,4.0,0
aegean-airlines,2014-09-01,Economy,10.0,5.0,5.0,5.0,3.0,5.0,1
aegean-airlines,2014-09-01,Economy,8.0,3.0,3.0,1.0,1.0,5.0,1
aegean-airlines,2014-09-01,Economy,5.0,3.0,2.0,1.0,1.0,2.0,1
aer-lingus,2015-04-14,Economy,7.289817232375979,3.0,1.0,0.0,0.0,2.0,0
aer-lingus,2015-04-08,Economy,6.0,4.0,3.0,4.0,0.0,3.0,1
aer-lingus,2015-04-03,Business Class,2.0,3.0,1.0,3.0,0.0,2.0,0
aegean-airlines,2014-08-28,Economy,1.0,3.0,1.0,2.0,1.0,2.0,0
aegean-airlines,2014-08-26,Business Class,9.0,3.0,5.0,4.0,1.0,5.0,1
aegean-airlines,2014-08-26,Economy,10.0,5.0,5.0,4.0,3.0,4.0,1
aer-lingus,2015-04-03,Economy,2.0,2.0,2.0,2.0,1.0,2.0,0
aer-lingus,2015-04-03,Economy,10.0,5.0,5.0,5.0,5.0,4.0,1
aer-lingus,2015-03-30,Economy,2.0,5.0,2.0,5.0,5.0,2.0,0
aegean-airlines,2014-08-26,Economy,10.0,5.0,5.0,5.0,0.0,4.0,1
aegean-airlines,2014-08-11,Business Class,10.0,4.0,5.0,5.0,4.0,5.0,1
aegean-airlines,2014-08-08,Economy,10.0,3.0,5.0,5.0,0.0,4.0,1
aer-lingus,2015-03-25,Economy,7.289817232375979,1.0,1.0,1.0,2.0,2.0,0
aer-lingus,2015-03-25,Economy,10.0,4.0,5.0,3.0,0.0,3.0,1
aer-lingus,2015-03-20,Economy,4.0,3.0,4.0,3.0,3.0,3.0,0
aegean-airlines,2014-08-08,Economy,5.0,1.0,5.0,5.0,1.0,3.0,0
aegean-airlines,2014-08-02,Economy,7.823788546255507,0.0,1.0,0.0,0.0,1.0,0
aegean-airlines,2014-08-02,Economy,9.0,4.0,5.0,4.0,0.0,4.0,1
aer-lingus,2015-03-20,Economy,9.0,4.0,4.0,4.0,4.0,5.0,1
aer-lingus,2015-03-17,Economy,7.0,4.0,5.0,4.0,1.0,4.0,1
aer-lingus,2015-03-04,Economy,8.0,3.0,5.0,5.0,4.0,4.0,1
aegean-airlines,2014-07-29,Economy,7.823788546255507,1.0,1.0,0.0,1.0,1.0,0
aegean-airlines,2014-07-22,Economy,8.0,4.0,4.0,5.0,3.0,4.0,1
aegean-airlines,2014-07-17,Economy,9.0,4.0,5.0,5.0,4.0,4.0,1
aegean-airlines,2014-07-08,Economy,1.0,2.0,1.0,1.0,1.0,2.0,0
aer-lingus,2015-02-18,Economy,7.289817232375979,3.0,1.0,1.0,1.0,1.0,0
aer-lingus,2015-02-18,Business Class,10.0,5.0,5.0,5.0,5.0,5.0,1
aer-lingus,2015-01-26,Economy,10.0,5.0,5.0,5.0,4.0,4.0,1
aegean-airlines,2014-07-06,Economy,4.0,1.0,3.0,3.0,2.0,3.0,0
aegean-airlines,2014-07-06,Economy,1.0,2.0,2.0,3.0,1.0,1.0,0
aegean-airlines,2014-07-06,Economy,9.0,4.0,5.0,4.0,4.0,4.0,1
aegean-airlines,2014-07-01,Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aer-lingus,2015-01-21,Economy,8.0,3.0,4.0,4.0,4.0,4.0,1
aer-lingus,2015-01-19,Economy,6.0,4.0,4.0,2.0,1.0,3.0,1
aer-lingus,2015-01-14,Economy,8.0,4.0,4.0,4.0,1.0,5.0,1
aeroflot-russian-airlines,2015-07-21,Premium Economy,8.0,4.0,4.0,3.0,3.0,5.0,1
aegean-airlines,2014-06-18,Economy,1.0,3.0,1.0,3.0,1.0,1.0,0
aegean-airlines,2014-06-16,Economy,9.0,5.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2014-06-13,Economy,1.0,1.0,4.0,2.0,1.0,2.0,0
aer-lingus,2015-01-14,Economy,9.0,1.0,5.0,4.0,0.0,3.0,1
aer-lingus,2015-01-11,Economy,10.0,4.0,5.0,5.0,0.0,5.0,1
aer-lingus,2015-01-05,Economy,6.0,3.0,3.0,3.0,4.0,3.0,1
aer-lingus,2014-12-29,Economy,2.0,4.0,1.0,4.0,4.0,2.0,0
aeroflot-russian-airlines,2015-07-20,Economy,7.0,4.0,4.0,2.0,3.0,3.0,0
aeroflot-russian-airlines,2015-07-19,Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aeroflot-russian-airlines,2015-07-07,Economy,8.0,3.0,3.0,4.0,4.0,5.0,1
aegean-airlines,2014-06-09,Economy,10.0,4.0,5.0,4.0,0.0,5.0,1
aegean-airlines,2014-06-04,Economy,10.0,4.0,5.0,5.0,4.0,5.0,1
aegean-airlines,2014-06-04,Economy,10.0,4.0,5.0,4.0,0.0,3.0,1
aegean-airlines,2014-06-01,Economy,7.823788546255507,3.0,2.0,3.0,1.0,2.0,0
aer-lingus,2014-12-22,Economy,2.0,3.0,2.0,2.0,3.0,2.0,0
aer-lingus,2014-12-18,Economy,5.0,4.0,5.0,3.0,0.0,2.0,1
aer-lingus,2014-12-10,Economy,8.0,3.0,4.0,0.0,0.0,4.0,1
aeroflot-russian-airlines,2015-06-27,Economy,3.0,3.0,1.0,3.0,3.0,3.0,0
aeroflot-russian-airlines,2015-06-20,Business Class,8.0,3.0,5.0,4.0,4.0,4.0,1
aeroflot-russian-airlines,2015-06-17,Economy,9.0,5.0,4.0,5.0,3.0,5.0,1
aegean-airlines,2014-05-19,Economy,2.0,2.0,4.0,3.0,1.0,1.0,0
aegean-airlines,2014-05-04,Economy,10.0,5.0,5.0,5.0,4.0,4.0,1
aer-lingus,2014-12-10,Economy,6.0,3.0,4.0,0.0,0.0,2.0,0
aer-lingus,2014-11-25,Economy,9.0,4.0,4.0,4.0,4.0,5.0,1
aer-lingus,2014-11-12,Economy,10.0,4.0,5.0,4.0,4.0,5.0,1
aeroflot-russian-airlines,2015-06-16,Premium Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aeroflot-russian-airlines,2015-06-16,Economy,8.0,5.0,4.0,3.0,3.014851485148515,5.0,1
aeroflot-russian-airlines,2015-06-14,Economy,9.0,4.0,3.0,4.0,3.0,5.0,1
aegean-airlines,2014-04-30,Economy,10.0,4.0,5.0,4.0,4.0,3.0,1
aegean-airlines,2014-04-22,Economy,7.823788546255507,4.0,1.0,4.0,0.0,1.0,0
aegean-airlines,2014-04-10,Economy,10.0,4.0,5.0,4.0,0.0,5.0,1
aer-lingus,2014-10-31,Economy,2.0,2.0,3.0,2.0,3.0,3.0,0
aer-lingus,2014-10-31,Economy,7.0,2.0,4.0,2.0,0.0,4.0,1
aer-lingus,2014-10-31,Business Class,10.0,4.0,5.0,5.0,4.0,5.0,1
aeroflot-russian-airlines,2015-06-13,Economy,8.0,3.0,4.0,4.0,5.0,5.0,1
aeroflot-russian-airlines,2015-06-13,Economy,7.0,1.0,5.0,4.0,2.0,4.0,1
aeroflot-russian-airlines,2015-06-06,Economy,7.0,4.0,3.0,4.0,4.0,4.0,1
aegean-airlines,2014-04-07,Business Class,7.823788546255507,0.0,1.0,0.0,0.0,1.0,0
aegean-airlines,2014-03-05,Economy,10.0,3.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2014-02-25,Economy,3.0,2.0,3.0,2.0,1.0,2.0,0
aegean-airlines,2014-02-21,Economy,5.0,3.0,2.0,2.0,3.0,3.0,1
aer-lingus,2014-10-31,Economy,7.289817232375979,1.0,5.0,1.0,4.0,1.0,0
aer-lingus,2014-10-28,Economy,10.0,4.0,5.0,4.0,0.0,4.0,1
aer-lingus,2014-10-28,Business Class,7.0,4.0,4.0,4.0,4.0,4.0,1
aeroflot-russian-airlines,2015-06-01,Economy,8.0,3.0,4.0,3.0,4.0,4.0,1
aeroflot-russian-airlines,2015-05-01,Economy,8.0,4.0,5.0,3.0,3.0,5.0,1
aeroflot-russian-airlines,2015-04-24,Economy,1.0,2.0,1.0,2.0,2.0,1.0,0
aegean-airlines,2014-02-07,Economy,6.0,2.0,5.0,2.0,0.0,3.0,0
aegean-airlines,2014-01-31,Business Class,9.0,5.0,5.0,5.0,3.0,4.0,1
aegean-airlines,2014-01-24,Economy,9.0,4.0,5.0,4.0,3.0,4.0,1
aerolineas-argentinas,2015-07-30,Economy,5.0,1.0,5.0,2.0,5.0,3.0,1
aer-lingus,2014-10-28,Economy,9.0,4.0,4.0,4.0,4.0,4.0,1
aer-lingus,2014-10-22,Economy,7.0,3.0,3.0,1.0,0.0,4.0,1
aer-lingus,2014-10-22,Economy,9.0,5.0,4.0,3.0,1.0,5.0,1
aer-lingus,2014-10-22,Business Class,10.0,4.0,5.0,5.0,4.0,5.0,1
aeroflot-russian-airlines,2015-04-24,Economy,6.0,3.0,4.0,2.0,2.0,3.0,0
aeroflot-russian-airlines,2015-04-22,Economy,1.0,2.0,1.0,3.0,1.0,1.0,0
aeroflot-russian-airlines,2015-04-19,Economy,7.0,4.0,4.0,3.0,5.0,5.0,1
aegean-airlines,2014-01-17,Economy,8.0,3.0,5.0,3.0,2.0,3.0,1
aegean-airlines,2014-01-10,Economy,7.823788546255507,3.0,3.0,2.0,0.0,2.0,0
aegean-airlines,2014-01-02,Economy,6.0,4.0,2.0,2.0,0.0,3.0,1
aegean-airlines,2013-12-25,Economy,1.0,4.0,2.0,4.0,3.0,1.0,0
aerolineas-argentinas,2015-07-05,Business Class,2.0,3.0,3.0,1.0,1.0,2.0,0
